# translation_extract.txt - user-visible Chinese in .kt / .xml / string resources
# Format: unique_id | chinese_string | file:line
# Excludes: // comment-only lines, Log/println/Timber, package/import lines.
# LocalizedStrings.kt: id is i18n_<key> (same-line zh branch or block if (zh) { multiline }).

app_han_75286237663579f0_36501 | 用户昵称 | app/src/main/java/com/example/kairosapplication/data/DataStoreManager.kt:365
app_han_7b804f534e2d6587_2401 | 简体中文 | app/src/main/java/com/example/kairosapplication/i18n/LocalizationManager.kt:24
i18n_settings | 设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:17
i18n_notification_settings | 通知设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:18
i18n_theme_settings | 主题设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:19
i18n_mood_settings | 心情与反思 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:20
i18n_widget_settings | 小组件设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:21
i18n_language_settings | 语言设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:22
i18n_privacy_settings | 隐私设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:23
i18n_other_settings | 其他 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:24
i18n_experimental | 实验功能 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:25
i18n_daily_reminder | 每日提醒 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:26
i18n_daily_reminder_time | 提醒时间 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:27
i18n_daily_reflection | 每日反思提醒 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:28
i18n_reflection_time | 反思时间 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:29
i18n_dark_mode | 深色模式 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:30
i18n_system_default | 系统默认 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:31
i18n_light_mode | 浅色模式 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:32
i18n_dark_mode_option | 深色模式 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:33
i18n_theme_color | 主题色彩 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:34
i18n_vitality_blue | 活力蓝 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:35
i18n_forest_green | 森林绿 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:36
i18n_soft_pink | 柔粉 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:37
i18n_warm_orange | 暖橙 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:38
i18n_current_language | 当前语言 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:39
i18n_language_hint | 语言切换会立即生效 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:40
i18n_language | 语言 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:41
i18n_privacy_policy | 隐私政策 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:42
i18n_delete_account | 注销账户 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:43
i18n_delete_account_warning | 此操作不可恢复，所有数据将被永久删除。确定要注销吗？ | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:45
i18n_cancel | 取消 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:49
i18n_confirm_delete | 注销 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:50
i18n_clear_cache | 清除缓存 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:51
i18n_cache_size | 当前缓存 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:52
i18n_cache_cleared | 缓存已清除 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:53
i18n_feedback | 意见反馈 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:54
i18n_share_app | 分享应用 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:55
i18n_about | 关于 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:56
i18n_back | 返回 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:57
i18n_confirm | 确定 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:58
i18n_feature_developing | 功能开发中 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:59
i18n_coming_soon | 敬请期待 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:60
i18n_reminders_notifications | 提醒与通知 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:61
i18n_appearance | 外观 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:62
i18n_mood_records | 心情与记录 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:63
i18n_mood_vocab | 心情词库 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:64
i18n_topic_manage | 课题管理 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:65
i18n_topic_manage_locked_badge | 默认 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:66
i18n_topic_manage_footer_hint | 提示：点击卡片编辑课题含义。自由随想不可修改。 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:68
i18n_topic_manage_freestyle_toast | 此为默认分类，不可修改 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:73
i18n_topic_secondary_name_duplicate | 二级课题名称不能重复 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:77
i18n_topic_secondary_guide_fold_hint | 引导词 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:78
i18n_topic_manage_secondary_only_subtitle | 仅编辑二级课题 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:80
i18n_topic_primary_meaning_section | 主课题含义 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:84
i18n_topic_icon_label | 图标 Emoji | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:85
